book,context,block_type,classification_confidence
rot,data/2/entries/1,NARRATIVE,0.8
rot,data/2/entries/2/name,HEADING_LABEL,1.0
rot,data/2/entries/2/entries/0/name,HEADING_LABEL,1.0
rot,data/2/entries/2/entries/0/entries/0,NARRATIVE,0.8
rot,data/2/entries/2/entries/0/entries/1,DM_INSTRUCTION,0.85
rot,data/2/entries/2/entries/0/entries/2/entries/0,READ_ALOUD,1.0
rot,data/2/entries/2/entries/0/entries/2/entries/1,READ_ALOUD,1.0
rot,data/2/entries/2/entries/1/name,HEADING_LABEL,1.0
rot,data/2/entries/2/entries/1/entries/0,NARRATIVE,0.8
rot,data/2/entries/2/entries/1/entries/1,NARRATIVE,0.8
rot,data/2/entries/2/entries/1/entries/2,NARRATIVE,0.8
rot,data/2/entries/2/entries/1/entries/3,NARRATIVE,0.8
rot,data/2/entries/2/entries/2/name,HEADING_LABEL,1.0
rot,data/2/entries/2/entries/2/entries/0/title,HEADING_LABEL,1.0
rot,data/2/entries/2/entries/2/entries/1,NARRATIVE,0.8
rot,data/2/entries/2/entries/2/entries/2,NARRATIVE,0.8
rot,data/2/entries/2/entries/2/entries/3,DM_INSTRUCTION,0.85
rot,data/2/entries/2/entries/2/entries/4/entries/0,READ_ALOUD,1.0
